File Extension,Ransomware,Present in other programs,Program type
wctc,Unidentified,N,
dyatel@qq_com,Unidentified,N,
PAYMAN,Unidentified,N,
vawe,Unidentified,N,
imsorry,Unidentified,N,
b0ff,Unidentified,N,
SynAck,Unidentified,N,
oshit,Unidentified,N,
young,Unidentified,N,
theva,Unidentified,N,
koreaGame,Unidentified,N,
atlas,Locky,N,
aris,Unidentified,N,
igza4c,Unidentified,N,
u'VictemKey_*_*,Unidentified,N,
LoveYou,Unidentified,N,
qq_com*,Unidentified,N,
pky,Unidentified,N,
nasoh,Unidentified,N,
Sanctions,Unidentified,N,
eCh0raix,Unidentified,N,
kitty,Unidentified,N,
maas,Unidentified,N,
P,Unidentified,N,
obleep,Unidentified,N,
CryptoJacky,Unidentified,N,
Locked-by-Mafia,Unidentified,N,
BANKS,Unidentified,N,
crptd,Unidentified,N,
BoooamCrypt,Unidentified,N,
_AiraCropEncrypted,DoubleLocker,N,
Wana Decrypt0r Trojan-Syria Editi0n,Unidentified,N,
zphs,Unidentified,N,
zycrypt,Unidentified,N,
magic,GandCrab,N,
tro,Unidentified,N,
Ruby,Unidentified,N,
MafiaWare,Unidentified,N,
try,Unidentified,N,
AlfaBlock,Unidentified,N,
AdolfHitler,Unidentified,N,
horon,Unidentified,N,
CROWN!?,Unidentified,N,
FFF,Unidentified,N,
RaaS,Unidentified,N,
OVO,Unidentified,N,
u'*prnds,Unidentified,N,
hbdalna!,Unidentified,N,
rrk,CryptoJoker,N,
cfk,Unidentified,N,
ExpBoot,Unidentified,N,
myskle,Unidentified,N,
Radiation,Unidentified,N,
sinopal,Unidentified,N,
rencrypted,Unidentified,N,
wannacryv2,Unidentified,N,
happydayzz,Unidentified,N,
defender,Unidentified,N,
FJ7QvaR9VUmi,Unidentified,N,
Deniz_Kizi,Unidentified,N,
croc,Unidentified,N,
u'*SpartCrypt*,Unidentified,N,
MMM,Unidentified,N,
SNSLocker,Unidentified,N,
hofos,Unidentified,N,
unavailable,Nemucod,N,
JSWORM,Unidentified,N,
shade8,Unidentified,N,
olduw,Unidentified,N,
kharma,Unidentified,N,
R2D2,Unidentified,N,
Cr1ptT0r,Unidentified,N,
HTML,Unidentified,N,
Clop,Unidentified,N,
[ID62133703],Unidentified,N,
C4H,Unidentified,N,
madekv120,Unidentified,N,
eofyd,Unidentified,N,
berosuce,Unidentified,N,
forasom,Unidentified,N,
xiaoba21,Unidentified,N,
filegofprencrp,Unidentified,N,
Gorgon,Unidentified,N,
eTeRnItY,Unidentified,N,
b5c6,Unidentified,N,
SamSam,Unidentified,N,
sexy,GPCode,N,
BNFD,Unidentified,N,
bdev,Unidentified,N,
hdmr,Unidentified,N,
SkyFile,Unidentified,N,
letmetrydecfiles,Unidentified,N,
airacropencrypted!,Unidentified,N,
SFile,Unidentified,N,
horseleader,Unidentified,N,
WinRarer,Unidentified,N,
Back,Unidentified,N,
gembok,Unidentified,N,
vbs,Unidentified,Y,VisualBasicScriptfile(VisualBasic)
geno,Unidentified,N,
Ishtar,Unidentified,N,
rdm,Jigsaw,N,
novasof,Unidentified,N,
OQn1B,Unidentified,N,
honor,Unidentified,N,
u'!#_How_to_decrypt_files_#!,Unidentified,N,
crypted,TeslaCrypt,N,
noproblemwedecfiles,Unidentified,N,
danger,Unidentified,N,
txd0t,Unidentified,N,
Xino,Unidentified,N,
revon,Unidentified,N,
hNcrypt,Unidentified,N,
GC47,Unidentified,N,
pxj,Unidentified,N,
jaff,Unidentified,N,
cryptes,Unidentified,N,
KARLS,Unidentified,N,
RASTAKHIZ,Unidentified,N,
Oplatabtc3,Unidentified,N,
cloud,Unidentified,N,
redl,Unidentified,N,
GhostHammer,Unidentified,N,
zip,Unidentified,Y,ZIPCompressedfilearchive
btcware,Unidentified,N,
gero,Unidentified,N,
CryptoLockerEU,Unidentified,N,
crab,Zeta,N,
lesli,Venus,N,
CRYPTOSHIEL,Unidentified,N,
46orz,Unidentified,N,
Huy,Unidentified,N,
sqpc,Unidentified,N,
qwqd,Unidentified,N,
CrySiS,Unidentified,N,
Lulz!,Unidentified,N,
[adm15@pr\u2026,Unidentified,N,
dxjay,Unidentified,N,
1txt,Scatter,N,
nypg,Unidentified,N,
Egh9E,Unidentified,N,
CRADLE,Unidentified,N,
CryCryptor,Unidentified,N,
mnbzr,Unidentified,N,
supported2017,Unidentified,N,
fuckyourdata,Unidentified,N,
locks,Unidentified,N,
Defray777,Unidentified,N,
DQXOO,Unidentified,N,
GoNNaCry,Unidentified,N,
wincry,Unidentified,N,
donut,Unidentified,N,
u'*BlockBax*,Unidentified,N,
write_on_email,Unidentified,N,
elpvd,Unidentified,N,
luces,Unidentified,N,
g0h8iwj,Unidentified,N,
powerfulldecrypt,Bart,N,
AW46,Unidentified,N,
londec,Unidentified,N,
abcd,Unidentified,N,
beijing,Unidentified,N,
Zeropadypt,Unidentified,N,
u'*structsstructs*,Unidentified,N,
ZEUS,Unidentified,N,
lock,Unidentified,N,
tax,Unidentified,Y,TurboTaxfile
z3enc,Unidentified,N,
DECC,Unidentified,N,
incpas,Unidentified,N,
ATLAS,Unidentified,N,
syrk,Unidentified,N,
DECP,Unidentified,N,
EAIJTP,Unidentified,N,
aes256,Unidentified,N,
MTXLOCK,Unidentified,N,
sgs911-*,Unidentified,N,
000G,Unidentified,N,
paycoin,Unidentified,N,
PayDay,Unidentified,N,
63vc4,Unidentified,N,
zida,Unidentified,N,
payransom,Unidentified,N,
Hknet,Unidentified,N,
qscx,Unidentified,N,
uudjvu,Unidentified,N,
Xcri,Unidentified,N,
kostya,KeRanger,N,
lyli!,Unidentified,N,
OMG!,Unidentified,N,
kezoz,Unidentified,N,
wsmile,Unidentified,N,
d3g1d5,Unidentified,N,
S996,Unidentified,N,
Cry128,Unidentified,N,
paas,Unidentified,N,
2122,Unidentified,N,
449o43,Unidentified,N,
HANTA,Unidentified,N,
Avaad,Unidentified,N,
SUPERCRYPT,Unidentified,N,
likud,Unidentified,N,
njmhqbxu,Unidentified,N,
chifrator@qq_com,Unidentified,N,
NotAHero,Unidentified,N,
PRCP,Unidentified,N,
p5tkjw,Samas/SamSam,N,
haka,Unidentified,N,
*wasted,Unidentified,N,
padcrypt,Alpha/Alfa,N,
lamo,Unidentified,N,
ChinaYunLong,Unidentified,N,
himynameisransom,Unidentified,N,
doc!,Unidentified,N,
EGG,Unidentified,N,
PEDO,Unidentified,N,
SaherBlueEagleRansomware,Unidentified,N,
aleta,Unidentified,N,
write,Unidentified,N,
u'*king_ouroboros*,Unidentified,N,
REKTLocker,Unidentified,N,
RIDIK,Unidentified,N,
Sil3nt5pring,Unidentified,N,
AL8P,Unidentified,N,
piny,Unidentified,N,
ApocalypseVM,Unidentified,N,
li,Unidentified,N,
EXTE,Unidentified,N,
lr,Unidentified,N,
tsv,Unidentified,Y,TabSeparatedValuefile
BORISHORSE,Unidentified,N,
0xxx,Unidentified,N,
jyqji,Unidentified,N,
Krider,Unidentified,N,
ZAYKA,Unidentified,N,
Lock2017,Unidentified,N,
crash,Unidentified,N,
BONUM,Unidentified,N,
kernel_pid,Conficker,N,
FuckSociety,Unidentified,N,
CURATOR,Unidentified,N,
HYENA,Unidentified,N,
GMAN,Unidentified,N,
WAITING,Unidentified,N,
CrYo,Unidentified,N,
snake,Unidentified,N,
kiss,Unidentified,N,
Venus,Unidentified,N,
Nomikon,Unidentified,N,
Nx,Unidentified,N,
srpx,Unidentified,N,
jsworm,Unidentified,N,
NEMTY_VFRLXV9,Unidentified,N,
betta,Unidentified,N,
BIG4+,Unidentified,N,
rokku,Samas/SamSam,N,
xdrop,Unidentified,N,
CULEX,Unidentified,N,
Spartacus,Unidentified,N,
u'ebay_was_here,Unidentified,N,
2x2d,Unidentified,N,
globe,Globe,N,
707,Unidentified,N,
Mnd4,Unidentified,N,
lfk,Unidentified,N,
DVPN,Unidentified,N,
fuckunicorn*,Unidentified,N,
LockedByte,Unidentified,N,
thanos,Unidentified,N,
RansomPlus,Unidentified,N,
Bubble,Unidentified,N,
vdul,Unidentified,N,
mew767,Unidentified,N,
eking,Unidentified,N,
calix,Unidentified,N,
doples,Unidentified,N,
kernel_complete,BarRax,N,
Cyborg,Unidentified,N,
uk6ge,Unidentified,N,
Freezing,Unidentified,N,
u'*0nl1ne*,Unidentified,N,
fs0ciety,Unidentified,N,
stub,Unidentified,N,
AxCrypter,Unidentified,N,
CryptoPatronum,Unidentified,N,
China,Unidentified,N,
JabaCrypter,Unidentified,N,
BadNews,Unidentified,N,
silvertor,Unidentified,N,
cxk_nmsl,Unidentified,N,
redmat,Unidentified,N,
fun,Angry,N,
NextCry,Unidentified,N,
*jalicry*,Unidentified,N,
ecc,Coverton,N,
ziqzqzdi,Unidentified,N,
FailedAccess,Unidentified,N,
babaxed,Unidentified,N,
glkm,Unidentified,N,
muslat,Unidentified,N,
YYYYBJQOQDU,Unidentified,N,
Stupid,Unidentified,N,
CAGO,Unidentified,N,
RSNSlocked,Unidentified,N,
LittleFinger,Unidentified,N,
log,Unidentified,Y,Logfile
JeepersCrypt,Unidentified,N,
comrade,Scatter,N,
vsunit,Unidentified,N,
EncryptedBatch,Unidentified,N,
FCrypt,Unidentified,N,
radman,Unidentified,N,
H_F_D_locked,Unidentified,N,
needdecrypt,Unidentified,N,
david,Unidentified,N,
Dhlp,Unidentified,N,
fuck_you_av_we_are_not_globe_fake,Unidentified,N,
2heRi1,Unidentified,N,
NUMBERDOT,Unidentified,N,
phobos,Unidentified,N,
x0lzs3c,Unidentified,N,
goforhelp,Unidentified,N,
nWcrypt,Unidentified,N,
CHAK,Unidentified,N,
wvtr0,Unidentified,N,
AES,Unidentified,N,
owned,Unidentified,N,
igvm,Unidentified,N,
XZZX,Unidentified,N,
npsg,Unidentified,N,
pgp,Unidentified,Y,Supportfile(PrettyGoodPrivacyRSASystem)
ElvisPresley,Unidentified,N,
lolita,Unidentified,N,
andonio,Unidentified,N,
love$,Unidentified,N,
righ,Unidentified,N,
ge0l0gic,Unidentified,N,
fair,Unidentified,N,
ZoNe,Unidentified,N,
nazcrypt,Unidentified,N,
XiaBa,Unidentified,N,
PHOBOS,Unidentified,N,
nvram,Unidentified,N,
Lazarus,Unidentified,N,
eQTz,Unidentified,N,
king_ouroboros*,Unidentified,N,
u'How_Decrypt_My_Files,Unidentified,N,
garcewa,Unidentified,N,
Dishwasher,Unidentified,N,
CradleCore,Unidentified,N,
ooss,Unidentified,N,
gotcha,Unidentified,N,
THDA,Unidentified,N,
Infinite,Unidentified,N,
*-*-*,Unidentified,N,
cryptoid,Unidentified,N,
GGGHJMNGFD,Unidentified,N,
CryptoLocky,Unidentified,N,
lO8s42,Unidentified,N,
systems32x,Unidentified,N,
pay2key,Unidentified,N,
KK,Unidentified,N,
mich,Unidentified,N,
Caleb,Unidentified,N,
PERSONAL_ID*,Unidentified,N,
Caley,Unidentified,N,
ReadMe,Unidentified,N,
igdm,Unidentified,N,
babyk,Unidentified,N,
fartplz,Unidentified,N,
zyklon,LockLock,N,
Death_Of_Shadow,Unidentified,N,
weareyourfriends,Unidentified,N,
*exx,Unidentified,N,
cbu1,Unidentified,N,
JSWRM,Unidentified,N,
Rooster865qqZ,Unidentified,N,
wav_list,Unidentified,N,
paymts,Jigsaw,N,
SpartCrypt,Unidentified,N,
31342E30362E32303136*,Unidentified,N,
Bisquilla,Unidentified,N,
TellYouThePass,Unidentified,N,
vaca,Unidentified,N,
d4nk,Alma,N,
ccryptor,Unidentified,N,
symbiom_ransomware_locked,Unidentified,N,
CONTACTUS,Unidentified,N,
XVNAW,Unidentified,N,
BENTLEY,Unidentified,N,
xoza,Unidentified,N,
apis,Unidentified,N,
6db8,Unidentified,N,
NMCRYPT,Unidentified,N,
nopasaran,Unidentified,N,
fileiscryptedhard,Unidentified,N,
bRcrypT,Unidentified,N,
ZipLocker,Unidentified,N,
tastylock,Unidentified,N,
ASN1 Encoder,Unidentified,N,
heisenberg,Unidentified,N,
hccapx,Unidentified,N,
Try2Cry,Unidentified,N,
lukitus,Unidentified,N,
mogranos,Unidentified,N,
D2550A49BF52DFC23F2C013C5,Unidentified,N,
sfs,Unidentified,Y,Pcl5scalablefontfile(Intellifont)
hermes837,Unidentified,N,
zxcv,Unidentified,N,
montana,Unidentified,N,
CryptoDevil,Unidentified,N,
Unlock92,Unidentified,N,
Enter,Unidentified,N,
MalwareTech*,Unidentified,N,
Vapor,Unidentified,N,
medal,Unidentified,N,
litra!Sample,Unidentified,N,
btix,Unidentified,N,
RMCM1,Exotic,N,
Pox,Unidentified,N,
helpmeencedfiles,Comrade,N,
ke3q,Unidentified,N,
GFS,Unidentified,N,
Pot,Unidentified,N,
qlkm,Unidentified,N,
djuvq,Unidentified,N,
xiaoba15,Unidentified,N,
bcBDBbAEDb,Unidentified,N,
xiaoba17,Unidentified,N,
xiaoba16,Unidentified,N,
xiaoba11,Unidentified,N,
xiaoba10,Unidentified,N,
xiaoba13,Unidentified,N,
acuna,Unidentified,N,
skunk,Unidentified,N,
xiaoba19,Unidentified,N,
xiaoba18,Unidentified,N,
Troldesh,Unidentified,N,
sarut,Unidentified,N,
FUNNY,Unidentified,N,
unbrecrypt_ID_*,Unidentified,N,
EXE,Unidentified,N,
WAND,Unidentified,N,
encrypted,SerbRansom,N,
sfile2,Unidentified,N,
szf,CryptoRoger,N,
\uc554\ud638\ud654\ub428,Unidentified,N,
RDM,Unidentified,N,
tx_locked,Unidentified,N,
GMBN,Unidentified,N,
GoldenEye,Unidentified,N,
3ncrypt3d,Unidentified,N,
coharos,Unidentified,N,
deuce,Unidentified,N,
UAKXC,Unidentified,N,
lockedfile,Unidentified,N,
DEMON,Unidentified,N,
686l0tek69,Unidentified,N,
PICO,Unidentified,N,
Ieph0uxo,Unidentified,N,
combo,Unidentified,N,
Russian EDA2,Unidentified,N,
r3f5s,Unidentified,N,
boris,Unidentified,N,
picocode#8523,Unidentified,N,
cube,Unidentified,N,
Jozy,Unidentified,N,
cuba,Unidentified,N,
yatron,Unidentified,N,
teamV,Unidentified,N,
lucky,Unidentified,N,
al1b1nal1,Unidentified,N,
vpsh,Unidentified,N,
perfection,Unidentified,N,
Crypren,Unidentified,N,
beaf,Unidentified,N,
ttt,Braincrypt,N,
u'*wifi*hacker*,Unidentified,N,
hets,Unidentified,N,
kupidon,Unidentified,N,
crabs,Unidentified,N,
evolution,Unidentified,N,
fox,Unidentified,N,
godes,Unidentified,N,
Nibiru,Unidentified,N,
one-we_can-help_you,Unidentified,N,
codnet,Unidentified,N,
reig,Unidentified,N,
777,Unidentified,Y,7-Zipcompressedfilearchive
XYZWare,Unidentified,N,
BlackRouter,Unidentified,N,
2k19sys,Unidentified,N,
fcfceee,Unidentified,N,
Prt6aV9,Unidentified,N,
alosia,Unidentified,N,
_Crypted,Unidentified,N,
CRY,Unidentified,N,
korrektor,Unidentified,N,
krypted,Unidentified,N,
legacy,Unidentified,N,
Telecrypt,Unidentified,N,
skynet,Unidentified,N,
choda,Unidentified,N,
grux,Unidentified,N,
xxxxx,Unidentified,N,
7zipper,Unidentified,N,
fsdfsdfsdfsdfsdfsfdsfs,Unidentified,N,
nuclear,Unidentified,N,
Aurora,Unidentified,N,
2xx9,Unidentified,N,
sglh,Unidentified,N,
dll,Merry,Y,DynamicLinkLibrary(Windows3.x-OS/2)
PIRATE,Unidentified,N,
whycry,Unidentified,N,
LyaS,Unidentified,N,
maddog,Unidentified,N,
2cXpCihgsVxB3,Unidentified,N,
klope,Unidentified,N,
email,Unidentified,Y,OutlookExpressMailMessage
xraw,Unidentified,N,
PayPalGenerator2019,Unidentified,N,
WALLET,Unidentified,N,
moments2900,Unidentified,N,
kee,Unidentified,N,
pdcr,CryptoMix,N,
cosakos,Unidentified,N,
RAD,Unidentified,N,
cripted,Unidentified,N,
BlackHeart,Unidentified,N,
Blocked2,Unidentified,N,
zcrypt,KeyBTC,N,
key,Unidentified,Y,Datafile(ForecastPro)
Ataware,Unidentified,N,
Server,Unidentified,N,
SENRUS17,Unidentified,N,
FS0ciety,Unidentified,N,
encryptedyourfiles,Unidentified,N,
rlhwasted,Unidentified,N,
trump,Unidentified,N,
Mystic,Unidentified,N,
YYTO,Unidentified,N,
RedBoot,Unidentified,N,
CoronaLock,Unidentified,N,
RNZ,Unidentified,N,
tater,Unidentified,N,
*AgeLocker,Unidentified,N,
lu*,Unidentified,N,
ch,Unidentified,Y,Headerfile(Clipper5)
SystemCrypter,Unidentified,N,
wxdrJbgSDa,Unidentified,N,
cc,Unidentified,Y,C++sourcecodefile
HILDA,Unidentified,N,
ekans,Unidentified,N,
reimageplus,Unidentified,N,
encoderpass,Unidentified,N,
cz,Unidentified,N,
cryptotes,Unidentified,N,
rpd,Unidentified,Y,Database(RapidFile)
vjiszy1lo,Unidentified,N,
cs,Unidentified,Y,VisualC#Sourcefile
cxk,Unidentified,N,
decodeme666@tutanota_com,Unidentified,N,
vanss,Unidentified,N,
ZABLOKOWANE,Unidentified,N,
LOTUS,Unidentified,N,
Timestamp,Unidentified,N,
gw3w,Unidentified,N,
TomLe,Unidentified,N,
Files-Frozen-NEED-TO-MAKE-PAYMENT\u2026,Unidentified,N,
LongTermMemoryLoss,Unidentified,N,
crptrgr,ODCODC,N,
MyChemicalRomance4EVER,Unidentified,N,
rbhd,Unidentified,N,
vassagoh,Unidentified,N,
mike,Unidentified,N,
glock,Unidentified,N,
Fenrir,Unidentified,N,
MadDog,Unidentified,N,
Crypton,Unidentified,N,
ahegao,Unidentified,N,
FIXT,Unidentified,N,
SALSA222,Unidentified,N,
VAGGEN,Unidentified,N,
cityzone-*,Unidentified,N,
OpenToYou,Unidentified,N,
iloveworld,Unidentified,N,
napoleon,Unidentified,N,
homer,Unidentified,N,
country82000,Unidentified,N,
ge010gic,Unidentified,N,
cypher,Unidentified,N,
CYRAT,Unidentified,N,
bobelectron,Unidentified,N,
cryeye,Manifestus,N,
rbs,Unidentified,Y,WindowsInstallerRollbackScriptfile
TRSomware[is_back__New-Algorithm__By_MaMo434376],Unidentified,N,
sanders4,Unidentified,N,
CryptoMix Revenge,Unidentified,N,
no_more_ransom,Unidentified,N,
f*cked,Unidentified,N,
lockymap,Unidentified,N,
RemindMe,Unidentified,N,
b2fr,Unidentified,N,
cve,Unidentified,N,
Ctpl,Unidentified,N,
V8Locker,Unidentified,N,
~,Unidentified,N,
vb,Unidentified,N,
sjjpu,Unidentified,N,
non,Unidentified,N,
h3ll,Unidentified,N,
3674AD9F-5958-4F2A-5CB7-F0F56A8885EA,Unidentified,N,
erif,Unidentified,N,
RackCrypt,Unidentified,N,
locked-*,Unidentified,N,
CryptoMix Wallet,Unidentified,N,
sanders4!,Unidentified,N,
Cossy,Unidentified,N,
moloch,Unidentified,N,
youransom,Unidentified,N,
u'*Rec0very*,Unidentified,N,
btHTIb,Unidentified,N,
Bear,Unidentified,N,
DREAM,Unidentified,N,
oonn,Unidentified,N,
2DA-1FF-401,Unidentified,N,
onlinesupport,Unidentified,N,
CRIPTOGRAFADO,Unidentified,N,
android,Unidentified,N,
xtbl,Unidentified,N,
pumas,Unidentified,N,
pizdec,Unidentified,N,
slvpawned,Unidentified,N,
zorro,CryLocker,N,
XTBL,Unidentified,N,
ezzyl,Unidentified,N,
6vr378txi,Unidentified,N,
XERO,Unidentified,N,
wowreadfordecry,Unidentified,N,
pdf,Unidentified,Y,AdobePortableDocumentFormat
fucked,TeslaCrypt,N,
[ID]*[ID]Look,Unidentified,N,
BMCODE,Unidentified,N,
Alkohol,Unidentified,N,
AES256-06,Unidentified,N,
googl,Unidentified,N,
dat,Unidentified,Y,DatafileinspecialformatorASCII
io],Unidentified,N,
ILMWL,Unidentified,N,
YDHM,Unidentified,N,
A9V9AHU4,Unidentified,N,
i,Unidentified,Y,Intermediatefile(BorlandC++4.5)
Acuf2,Unidentified,N,
builder,Unidentified,N,
RECOVERYOURFILES,Unidentified,N,
ARA,Unidentified,N,
dfjhsalfhsakljfhsljkahfdjklashfdjklh,Unidentified,N,
nginxhole,Unidentified,N,
oops,Karmen,N,
demonslay335_you_cannot_decrypt_me!,Unidentified,N,
alka,Unidentified,N,
mtogas,Unidentified,N,
VforVendetta,Globe,N,
DATA_IS_SAFE_YOU_NEED_TO_MAKE_THE_PAYMENT_IN_MAXIM_24_HOURS_OR_ALL_YOUR_FILES_WILL_BE_LOST_FOREVER_PLEASE_BE_REZONABLE_IS_NOT_A_JOKE_TIME_IS_LIMITED,Unidentified,N,
slgh,Unidentified,N,
pauq,Unidentified,N,
Eternal,Unidentified,N,
hese,Unidentified,N,
BK,Unidentified,N,
XRNT,Unidentified,N,
shootlock,Unidentified,N,
VaultCrypt,Unidentified,N,
Neptune,Unidentified,N,
Stinger,Unidentified,N,
LockerGoga,Unidentified,N,
crypt38,Unidentified,N,
59d49,Unidentified,N,
adv,Unidentified,N,
viiper,Unidentified,N,
WSHLP,Unidentified,N,
panther,Unidentified,N,
infileshop@gmail_com_ID44,Unidentified,N,
codnat1,Unidentified,N,
sky,Unidentified,N,
BigBobRoss,Unidentified,N,
filesfucked,Unidentified,N,
CoronaVirus,Unidentified,N,
0kilobypt,Unidentified,N,
dqb,Unidentified,N,
myjob,Unidentified,N,
Hermes,Unidentified,N,
adk,Wana,N,
tgmn,Unidentified,N,
boom,Unidentified,N,
KLZUB,Unidentified,N,
projectzorgo,Unidentified,N,
MOLE04,Unidentified,N,
MOLE03,Unidentified,N,
sick,Unidentified,N,
MOLE01,Unidentified,N,
ANNABELLE,Unidentified,N,
desu,Unidentified,N,
*darkness,Unidentified,N,
Banta,Unidentified,N,
kuus,Unidentified,N,
\u0417\u0430\u0449\u0438\u0449\u0435\u043d\u043e,Unidentified,N,
El Polocker,Unidentified,N,
nakw,Unidentified,N,
leon,Unidentified,N,
les#,Unidentified,N,
PARTY,Unidentified,N,
etols,Unidentified,N,
kuub,Unidentified,N,
woodrat,Unidentified,N,
ILElection2020,Unidentified,N,
Ransed,Unidentified,N,
SQ_,Unidentified,N,
like,Unidentified,N,
onion,CryptoMix,N,
k0stya,Unidentified,N,
parasite,Unidentified,N,
NM4,Unidentified,N,
testE,Unidentified,N,
nm8kci,Unidentified,N,
FEROSUS,Unidentified,N,
31392E30362E32303136_*,Unidentified,N,
zzzzz,Enigma,N,
IO,Unidentified,N,
"com],",Unidentified,N,
meka,Unidentified,N,
hush,Xorist,N,
GORILLA,Unidentified,N,
Acton,Unidentified,N,
tronas,Unidentified,N,
ETH,Unidentified,N,
covm,Unidentified,N,
tmp,Unidentified,Y,Temporaryfile
u'*decipher*,Unidentified,N,
kr3,Unidentified,N,
charmant,Unidentified,N,
masked,Unidentified,N,
npsk,Unidentified,N,
G8xB,Unidentified,N,
zwer,Unidentified,N,
dwbiwty,Unidentified,N,
rezm,Unidentified,N,
FDFK,Unidentified,N,
paycyka,Unidentified,N,
usam,Unidentified,N,
rumblegoodboy,Unidentified,N,
Afrodita,Unidentified,N,
peosajwqfk,Unidentified,N,
devil,Unidentified,N,
LOCKED_BY_pablukl0cker,Unidentified,N,
LooCipher,Unidentified,N,
megac0rtx,Unidentified,N,
revolution,Unidentified,N,
lukitus-tiedostop\xe4\xe4tett\xe4,Unidentified,N,
LoveServer,Unidentified,N,
com}KBK,Unidentified,N,
tcwwasted,Unidentified,N,
EncrypTile,Unidentified,N,
ESCAL*,Unidentified,N,
Marlboro,Unidentified,N,
nlocker,Unidentified,N,
SPCT,Unidentified,N,
termit,Unidentified,N,
RJZUNA,Unidentified,N,
KOK8,Unidentified,N,
*GEFEST,Unidentified,N,
StorageCrypter,Unidentified,N,
mers,Unidentified,N,
STOP,Unidentified,N,
suppose666,Unidentified,N,
Bitconnect,Unidentified,N,
promoks,Unidentified,N,
Teslarvng,Unidentified,N,
merl,Unidentified,N,
SySS,Unidentified,N,
con30,Unidentified,N,
!emc,Unidentified,N,
R16M01D05,Unidentified,N,
me],Unidentified,N,
YOURPCISHACK16024752552658,Unidentified,N,
cfm,Unidentified,Y,ColdFusionMarkupLanguage(Allaire)
Dusk,Unidentified,N,
L33TAF,Unidentified,N,
*,Unidentified,N,
2k19,Unidentified,N,
TMS5,Unidentified,N,
pack14,Unidentified,N,
PA-SIEM,Unidentified,N,
OFFWHITE,Unidentified,N,
esexz,Unidentified,N,
hdeaf,Unidentified,N,
j0hnson,Unidentified,N,
angelamerkel,Troldesh,N,
venusp,Unidentified,N,
MirCop,Unidentified,N,
NEMTY_VQLGC72,Unidentified,N,
coka,Unidentified,N,
FuxSocy,Unidentified,N,
KEYPASS,Unidentified,N,
rajar,Unidentified,N,
neitrino,Unidentified,N,
hj36MM,Unidentified,N,
decrypme,Unidentified,N,
venusf,Ransomware,N,
ppdddp,Unidentified,N,
*anta,Unidentified,N,
jwjs,Unidentified,N,
dme,Unidentified,N,
Ozoza,Unidentified,N,
mado,Unidentified,N,
Cryakl,Unidentified,N,
rumba,Unidentified,N,
dmo,Unidentified,Y,Demo(Derive)
726,Unidentified,N,
725,Unidentified,N,
xiaoba22,Unidentified,N,
O67NG,Unidentified,N,
xiaoba23,Unidentified,N,
encmywork,Unidentified,N,
CRRRT,Unidentified,N,
AreYouLoveMyRansFile,Unidentified,N,
DALE,Unidentified,N,
_NEMTY*,Unidentified,N,
jessy,Unidentified,N,
6491,Unidentified,N,
zhen!,Unidentified,N,
u'*zn2016,Unidentified,N,
domino,Unidentified,N,
html,Unidentified,Y,HyperTextMarkupLanguagedocument
CyberSCCP,Unidentified,N,
RedEye,Unidentified,N,
payms,Apocalypse,N,
twist,Unidentified,N,
bizer,Unidentified,N,
ini,Unidentified,Y,Initializationfile
v-society,Unidentified,N,
sifreli,Unidentified,N,
pip,Unidentified,Y,Personalizedmenuandtoolbar(MSOffice)
cyberdrill,Unidentified,N,
inf,Unidentified,Y,Type1LaserJetfontinformationfile(softfont
dy8wud,Unidentified,N,
urnb,Unidentified,N,
GFYPK,Unidentified,N,
DeLpHiMoRiX!@@@@_@@_@_2018_@@@_@_@_@@@,Unidentified,N,
abiyq,Unidentified,N,
velso,Unidentified,N,
Sadogo,Unidentified,N,
KOK08,Unidentified,N,
VaNoLe,Unidentified,N,
rxx,Unidentified,N,
boop,Unidentified,N,
DecryptIomega,Unidentified,N,
Mespinoza,Unidentified,N,
Uyari,Unidentified,N,
fire,Unidentified,N,
shariz,Unidentified,N,
only-we_can-help_you,Unidentified,N,
NASAcry,Unidentified,N,
moncrypt,Unidentified,N,
booa,Unidentified,N,
auw2w2g0,Unidentified,N,
adam,Unidentified,N,
hacker,Unidentified,N,
AES256,Unidentified,N,
NewHT,Unidentified,N,
CryptorBit,Unidentified,N,
PAUSA,Unidentified,N,
tokog,Unidentified,N,
m3ga,Unidentified,N,
TJODT,Unidentified,N,
Fonix,Unidentified,N,
rdmk,Unidentified,N,
WininiCrypt,Unidentified,N,
ghost,Unidentified,N,
ransomcrypt,Unidentified,N,
encryptedALL,Unidentified,N,
covid-19,Phishing,N,
EVEREST,Unidentified,N,
CQXGPMKNR,Unidentified,N,
XiaoBa1,Unidentified,N,
4k,Unidentified,N,
whatthefuck,Unidentified,N,
KKBKR,Unidentified,N,
