!bt	BitTorrentIncompleteDownloadfile
!qb	qBittorrentPartialDownloadfile
!ut	uTorrentIncompleteDownloadfile
#24	Printerdatafilefor24pinmatrixprinter(LocoScript)
#ib	Printerdatafile(LocoScript)
#sc	Printerdatafile(LocoScript)
#st	Standardmodeprinterdefinitions(LocoScript)
$#!	Cryptext
rh	Resourceheaderfile(BorlandC++4.5)
rhp	RhapsodyNotationProgramFileFormat
ri	Data(Lotus1-2-3)
rib	GraphicsinRendermanformat(3DReality)
ric	Fax(Ricoh)
rif	Riffbitmapgraphics(FractalDesignPainter)
rip	Graphics(RemoteAccess)
rix	Bitmapgraphics(ColorRIXVGAPaint)
rl4	Bitmapgraphics
rl8	Bitmapgraphics
rla	Wavefrontrasterimagefile(SDSCImageTool)
rlb	Data(HarvardGraphicsWin)hgw.rlb
rlc	Graphics1bit/pixelscanneroutput
rle	UtahRunLengthEncodedrastergraphic(SDSCImageTool)
rlz	Realizersourcecodefile(CA-Realizer)
rm	RealMediafile
rmf	RichMapFormat
rmi	Midifile(RIFFRMIDformat)
rmj	RealJukeboxfile
rmk	Makefile(ClipperRMake)
rmm	RealPlayerfile
rmr	ResumeMakerfile
rms	SecureRealMediafile
rmvb	VideofileforRealplayer
rm	RealMedia
rmvb	RealMediavideofile
rmx	RealJukeBoxMP3file
rn	XplprogramforNotaBeneusers
rnd	RenderingSlide(AutoCADAutoShade)
roi	ActuateReportBlastfile
rno	Runofffile(VAX)
rol	FmmusicAdlibMusicFile(Roland)
rpd	Database(RapidFile)
rpl	Textdocument(Replica)
rpm	RedHatPackageManager
rps	PropellerheadSoftwareReasonSong
rpt	Report
rrd	ERDASImaginefile
rs	Datafile(AmigaResource-Reassembler)
rs_	ResourceforkofaMacintoshfile(Mac-ette)
rsb	RedStormImageFormat
rsc	Resourcefile
rsm	ReliaSoftMPC3
rsp	Responsefile
rss	RockwellLogixPLCfile
rst	ANSYSResults
rsw	ReliaSoftBlockSim
rtc	LiveMeetingConnectionfile
rtf	RichTextFormattextfile(many-WindowsWord)
rtl	RunTimeLibrary(NU7.0)
rtp	TurboTaxUpdatefile
rts	Runtimelibraryfile(CA-Realizer)
rtx	ReliacastAudienceManagerTurnstile
ru	JavaSoftLibraryfile
rul	InstallShield
run	RunScannerSavedfile
rv	RealVideoVideofile
rvb	Rhinoscriptfile
rvp	MSScanConfigurationfile
rvw	Review
rwg	RandomWordGeneratorListfile
rws	ResourceWorkshopdatafile(BorlandC++)
rwx	Script(RenderWare)
rwz	MSOutlookRulesWizardfile
rzk	RedZionFileCrypt(passwordfile)
rzr	in-syncSpeedRazorProjectfile
rzx	in-syncSpeedRazorProjectfile
s	Assemblysourcecodefile(Unix)
s$$	Temporarysortfile(Sprint)
s3m	Music(16channels)(ScreamTracker3.0)
sac	SharedAssetCatalog(Adobe)
saf	MusicMatchJukeboxSecureAudiofile
sah	SETI@Homedatafile
sal	Datafile(SORITEC)
sam	Textfile(Samna-LotusAmi/AmiPro)
sar	CompressedfilearchivecreatedbySAR(sar1.zip)
sas	SASSystemprogram
sas7bcat	SASSystemfilecatalog
sas7bdat	SASSystemdataset
sas7bndx	SASSystemindex
sas7bpgm	SASSystemStoredProgram
sas7bvew	SASDataSetView
sas7mdb	SASSystemmultidimensionaldatabase
sat	StandardACISTextfile
sav	Backupfile(savedfile)
sb	Audiofile(signedbyte)
sbc	SagebrushCorporationSpectrumCIRC/CATReport
sbd	Storyboard(StoryboardEditor)
sbi	SoundBlasterInstrumentfile(CreativeLabs)
sbj	MicrografxClipartorPalettefile
sbn	ArcViewfile(GIS)
sbp	Dmlprogram(Superbase4)
sbr	Supportfile(SourceBrowser)
sbs	SWATHRUOutputfile
sbt	Notesrelatedtorecord(Suberbase4Windows)
sbx	ArcViewfile(GIS)
sc	Palscript(Paradox)
sc3	RenameddBASEIIIscreenmaskfile(dBASEIV)
sca	Datafile(SCA)
scc	Textfile
scd	ScodlScanConversionObjectDescriptionLanguagegraphics
scf	Multimediashow(ScoreMaker)
sch	Projectschedule(SchedulePublisher)
sci	SystemConfigurationInformation
scm	Schemesourcecodefile
scn	Screenfile(Kermit)
sco	Highscore
scp	Script(BITCOM)
scr	Debugsourcecodefile(DOSDebug)
sct	Screenmemo(FoxPro)
scx	Bitmapgraphics(ColorRIX)
scy	Securityfile(ReaGeniX)
sda	Fidonet'sSoftwareDistributionNetworkfilearchive
sdc	StarOfficeSpreadsheet
sdd	StarOfficePresentation
sdf	SystemDataFormatfile(fixedlenghtASCIItext)
sdi	SoftwareDistributionNetworkInfofile
sdn	SoftwareDistributionNetworkcompressdfilearchive
sdr	SmartDrawfile
sds	ChartApplicationDocumentfile
sdt	SmartDrawTemplate
sdu	EdwardsSystemsTechnologyfile
sdw	StarOfficeText
sea	Self-ExtractingcompressedMacintoshfileArchive
sec	CyberPaintanimationfile(sequence)
sed	SelfExtractionDirectivefile
sep	Printerseparatorpage
seq	Atarianimationfile
ses	Sessioninfo(ClarionModula-2)
set	Configuration(1stReader)
sf	IrcamSoundFile(CSoundpackage-MixViewsoundsample
sf2	CreativeLabsSoundfontfile
sfb	HPSoftFontfile
sfc	SystemFileCheckerfile
sff	FritzFax-Printfile
sfi	Graphics(SISFramegrabber)
sfl	Pcl4bitmapfont(landscape)(Intellifont)(Ventura
sfn	Font(SPX)
sfo	CuteFTPSearchfile
sfp	Pcl4bitmapfont(portrait)(Intellifont)(Ventura
sfs	Pcl5scalablefontfile(Intellifont)
sft	Screenfont(ChiWriter)
sfv	QuickSFV/WinSFVChecksumfile
sfw	SeattleFilmWorksfile
sfx	SelfExtractingArchivefile
sg1	Graphics(StanfordGraphics)
sgf	Documentwithgraphics(Starwriter)
sgi	Graphics(IRIS-SiliconGraphics)
sgm	StandardGeneralizedMarkupLanguagefile
sgn	SierraPrintArtistSign
sgp	Statistics(STATGRAPHICSPlus)
sgt	Save/getkeyboardmacro(Signature)
sh	Unixshellscript
sh3	Presentation(HarvardGraphics3.0)
sha	ShellArchivefile
shb	Background(CorelShow)
shd	MicrosoftWindowsShadowfile
shg	Segmented-graphicsbitmap
shk	CompressedAppleIIfilearchivecreatedbySHRINKIT
shm	Shellmacro(WordPerfectLibrary)
shn	Shortenaudiocompressionfile
shp	Shapefileandsourcefilefortextfonts(AutoCAD)
shr	UnixASCIIfilearchivecreatedbySHAR(unshar.zip)
shs	MicrosoftWordorExcelscrapfilewhichiscreatedwhen
shtml	HTMLFilewithServerSide
shw	Presentation(HarvardGraphics2.0-CorelShow)
shx	Shapeentities(AutoCAD)
sid	Commodore64Musicfile
sif	SetupInstallationFilesinfo(WindowsNTSetup)
sig	Currentprogramsettings(Signature)
sik	Backupfile(Sicherungskopie)(MSWord)
sim	Aurora
sis	SymbianOSInstallerfile
sit	CompressedMacintosharchivecreatedbySTUFFIT
sitx	StuffitSITXCompressedFile
skb	SketchUpsoftwarefile(3DDesignTool)
skf	Autosketchfile
skin	Skinfile
skm	GoogleSketchupTexturefile
skn	Interfaceskinsimages(FileWrangler,SecurDesk!,
skp	Sketchupsoftwarecomponent(3DDesignTool)
sl	S-Langsourcecodefile
slb	Slidelibrary(AutoCAD)
slc	CompiledSALTscript(Telix)
sld	Slide(AutoCAD)
slf	BitDefenderfile
sli	Slide(MAGICorpSlideService)
slk	SylkSymbolicLinkformatdatafile(MultiPlan)
sll	Sounddatafile
sln	MicrosoftVisualStudioSolutionfile
slt	SaltScriptApplicationLanguageforTelixscriptsource
sm	Smalltalksourcecodefile
smc	SuperNintendoGame-consoleROMImage
smd	StarOfficeMail
smf	Fax(SMARTFAX)
smi	RealPlaySMILfile
smil	SynchronizedMultimediaIntegrationLanguagefile
smk	CompressedFile(Smacker)
smm	Macro(AmiPro)
smp	Sample(soundfile)
sms	MicrosoftPackageDefinitionfile
smt	Textfile(SmartWareII)
smtmp	SMTMPVirus
snd	Digitizedsoundfile(Macintosh/ATARI/PC)
sng	Song(midisound)(MidisoftStudio-Prism)
snm	Netscapemail
sno	Snobol4sourcecodefile
snp	CoffeeCupHTMLEditorSnippet
snx	MirageMicrodriveSnapshotExtendedVersion
so	ApacheModulefile
sol	Flashsharedobjectfile
som	Networkserialnumbers(QuattroPro)
son	Song(SBStudioII)
sou	Sounddata(soundtool)
sp	CompressedfilearchivecreatedbySPLINT(unix)
spa	MacromediaFutureSplashfile
spc	Program(MSMultiplan)
spd	Scalablefont(Speedo)(HarvardGraphics3.0)
spf	Slidepresentationfile(EnerGraphics)
spg	Glossary(Sprint)
spi	Graphics(SiemensandPhilipsscanner)
spi	InConSoftLtd.Sim-Pathsystemfiles
spl	CompressedfilearchivecreatedbySPLINT(splint.arc)
spm	Data(WordPerfect)wp{wp}.spm
spo	StatisticalProgram(SPSS)
spp	Printerfile(Sprint)
spr	Documentletter(Sprint)
sps	Spssxsourcecodefile(VAX/VMS)
spt	Spitbolsourcecodefile
spv	InConSoftLtdSim-Pathvehiclefile
spw	Worksheet(SigmaPlot)
spx	Compiledscreenprogram(FoxPro)
sql	SQLreportorquery
sqlite	SQLiteDatabasefile
sqm	ServiceQualityMonitoringfile
sqz	CompressedfilearchivecreatedbySQUEEZE(sqz1083e.exe)
src	Source(DataFlex)
srf	SunRasterFilegraphics
srp	Script(QuickLink)
srt	BSplayerSubtitlefile
ss	Bitmapgraphics(Splash)
ssa	Subtitles
ssb	SmartSyncPro
ssd	Datafile(SAS/PC)
ssf	Snagitfile
ssm	RealPlayerStandardStreamingMetafile
ssp	Datafile(SASTransport)
st	Smalltalksourcecodefile(LittleSmalltalk)
st3	MIDIKaraokefile
sta	AdobePhotoshopMatchColourImageStatisticsfile
stb	Stublibrary(GenusGXKernel)
std	StateTransitionDiagramgraphicfile(Prosa)
stf	CompressedfilearchivecreatedbySHRINKTOFIT
stg	ActiveSync(Microsoft)Backupfile
stl	C++StandardTemplateLibrary
stm	StateTransitionDiagrammodelfile(Prosa)
stn	ArcViewGeocodingStandardizationfile
sto	PascalstubOBJfile(GenusGXKernel)
stp	SharepointWebSiteTemplateFile
str	Structurelistobjectfile(dBASEApplicationGenerator)
sts	Projectstatusinfo(MSC/C++)
stt	AutomapTemplate
stu	TarantellaEnterprise33270EmulatorStylefile
stw	Datafile(SmartTermforWindows)
stx	Electronicbook(SmarText)
sty	Stylelibraryorsheet(manytextandgraphicsprograms)
sub	CloneCdrelatedfile
sui	Suitlibrary(SimpleUserInterfaceToolkit)
sum	Summary
sun	Sunrasterfilegraphics
sup	Supplementarydictionary(WordPerfectforWin)
sv4	RollerCoasterTycoonSavedGame
svd	Autosavefilefordocument(MSWord)
svg	Autosavefileforglossary(MSWord)
svgz	CompressedScaleableGraphicfile
svp	WISCOSurveyPower
svs	Autosavefileforstylesheet(MSWord)
sw	Audiofile(signedword)
swd	Storybookfile
swf	ShockWaveFlashobject
swg	Swagpacket(SWAGReader)
swi	SwishDatafile
swk	SwapkeysKeyboardFile
swp	Documentbackup(Sprint)
sxc	StarOffice/OpenOfficeSpreadsheetfile
sxw	OpenOffice.orgWriter6.0textfile
sy1	Smartpixsymbollibrary(AmiPro)
sy3	Symbolfile(HarvardGraphics3.0)
syd	BackupofstartupfilescreatedbyQEMM(?)autoexec.syd
sym	Precompiledheaders(BorlandC++)
syn	SdscSynuimagefile(SDSCImageTool)
sys	Datafile(SYGRAPH-SYSTAT-SPSS/PC)
syw	Graphicssymbols(HarvardGraphicsWin)
szc	WindowsMobile5(PocketPC)
t	Tadssource
t$m	AVGInternetSecurityTemporaryfile
t04	TaxCut2004file
t05	TaxCut2005TaxReturn
t06	TaxCut2006TaxReturn
t07	TaxCut2007TaxReturn
t08	TaxCut2008TaxReturn
t09	H&RBlockAtHome2009TaxReturn
t10	H&RBlockAtHome2010TaxReturn
t11	H&RBlockAtHome2011TaxReturn
t12	H&RBlockAtHome2012TaxReturn
t2	Textease2000file
t44	TemporaryfileforSortorIndex(dBASEIV)
t64	Program(C64Semulator)
ta0	TaxActfile
tab	GuitarTablaturefile
tag	Querytagname(DataFlex)
tah	TurboAssemblerHelpfile(BorlandC++)
tal	Textillustration(TypeAlign)
tao	IsoBusterfile
tar	CompressedfilearchivecreatedbyTAR(pax2exe.zoo)
tax	TurboTaxfile
taz	CompressedASCIIfilearchivecreatedbyTARandCOMPRESS
tb1	Fontfile(BorlandTurboC)
tb2	Fontfile(BorlandTurboC)
tbf	Fax(ImavoxTurboFax)
tbh	MahJonggforWindowsTileSet
tbk	Memobackup(dBASEIV-FoxPro)
tbl	Graphics(nativeformat)(AdobePageMakerTableEditor)
tbs	Textelements??(Textbausteine)(MSWord)
tbx	Table(ProjectScheduler4)
tc	Configuration(TurboC-BorlandC++)
tch	TurboCHelpfile(BorlandC++)
tcl	ToolCommandLanguagesourcecode(Swat)
tcp	3DTopicscape(exportedinter-Topicscapetopiclink)
tcw	Drawing(TurboCADforWindows)
td	Configurationfile(TurboDebuggerforDOS)
td0	Diskimagefile(Teledisk)
td2	Configurationfile(TurboDebuggerforWin32)
tdb	Database(TACT)
tdf	Font(TheDraw)
tdh	Helpfile(TurboDebugger)
tdk	Keystrokerecordingfile(TurboDebugger)
tds	Symboltable(TurboDebugger)
tdt	ASCIIDataFileinCSVFormat
tdw	Configurationfile(TurboDebuggerforWindows)
tee	TeeChartOfficegraphic
tef	Fax(RelisysTEFAX)
tel	Hostfile(Telnet)
tem	TurboEditorMacroLanguagescript(BorlandC++)
temp	Temporaryfile
test	TestFileExtension
tex	LaTeXSourceDocumentfile
text	ASCIITextfile
tf	Configuration(TurboProfiler)
tfa	Areafile(TurboProfiler)
tfc	Cataloguefile(Tobi'sFloppyCataloguer)
tfh	Helpfile(TurboProfiler)
tfm	TexFontMetricfile(TeX)
tfs	Statistics(TurboProfiler)
tfw	ArcViewWorldFileForTIFImage
tg1	Projectfile(OnTarget)
tga	TruevisionTargabitmapgraphics
tgz	CompressedfilearchivecreatedbyTARandGNUzip(.tar.gz)
thb	KinuPixSkin
thd	Thread
thm	ThumbnailImagefile
thn	GraphicsWorkshopforWindowsThumbnail
ths	Thesaurusdictionary(WordPerfectforWin)
tib	AcronisTrueImagefile
tif	TaggedImageFileFormatbitmapgraphics(PageMaker-
tiff	TaggedImageFileFormat
til	Fuzzylogicknowledgebase(TogaiInfraLogicFuzzy-C
tim	PlaystationGameTextureImage
tis	Tileset(MahJongg3.0)
tix	ASAforUNIXTerminfoExtensionfile
tjl	Backupfile(VAXTPUeditor)
tlb	OLETypeLibrary
tlc	CompiledToolCommandLanguagesourcecode(Swat)
tlp	Project(TimeLine)
tlt	TrellixWebDesignfile
tmb	TimbuktuProConnectionDocument
tmd	Document(TextMaker)
tmf	TaggedFontMetricfile(WordPerfectforWin)
tmo	Ztgglobaloptimizerdefaultoutputfile(ZortechC++)
tmp	Temporaryfile
tmpl	eMuleWebInterfaceTemplatefile
tmq	TestMasterfile
tms	Script(Telemate)
tmv	Template(TextMaker)
toc	TableOfContents
tol	KodakPhotoenhancer
TOPC	TopicCrunchprojectfileforsavingandresubmittingSEO
tos	Self-extractingfilearchive(AtariST)
tp	Configuration(TurboPascal)
tp3	Template(HarvardGraphics3.0)
tpb	DownloadablePCLSoftfontfilebackup(HiJaak)
tpf	DownloadablePCLSoftfontfile(HiJaak)
tph	Helpfile(TurboPascal)
tpi	MicrosoftTestfile
tpl	DocumentTemplatefile
tpp	ProtectedModeUnits(BorlandPascal7.0)
tps	ClarionforWindowsdatafile
tpu	TurboPascalUnit(BGI)(TurboPascal)
tpw	Session-statefile(TurboProfilerforWindows)
tpz	CompressedfilearchivecreatedbyTARandGNUzip(.tar.gz)
tr	Session-statesettings(TurboDebuggerforDOS)
tr2	Session-statesettings(TurboDebuggerforWin32)
trace	ECXpertDebuggingfile
trc	Debugsupportfile(PowerCTrace)
tre	Directorytreefile(PC-Tools)
trg	SymantecLiveUpdatefile
tri	Trigramfile
trk	KermitScriptfile
trm	Terminalsettings(Windows3.x)
trn	Translationsupportfile(Quattro)
trp	Tripmakerfile
trs	Executablefile(Micrografx)
trw	Session-statesettings(TurboDebuggerforWindows)
trx	RouterFirmwarefile
ts	TransportStreamfile
tsk	SkinsforPocketPCPDAs
tsp	WindowsTelephonyServiceProvider
tst	Printertestfile(WordPerfectforWin)
tsv	TabSeparatedValuefile
tt10	Turbotax2010Returnfile
tta	TheTrueAudioCodecfile
ttc	OpenTypefontfile
ttf	TruetypeFontfile
tub	PaintShopProTubefile
tut	Tutorial
tv	Tableviewsettings(Paradox)
tv1	OverflowfileaboveinsertpointinDoc1(WordPerfectfor
tv2	OverflowfileaboveinsertpointinDoc2(WordPerfectfor
tv3	OverflowfileaboveinsertpointinDoc3(WordPerfectfor
tv4	OverflowfileaboveinsertpointinDoc4(WordPerfectfor
tv5	OverflowfileaboveinsertpointinDoc5(WordPerfectfor
tv6	OverflowfileaboveinsertpointinDoc6(WordPerfectfor
tv7	OverflowfileaboveinsertpointinDoc7(WordPerfectfor
tv8	OverflowfileaboveinsertpointinDoc8(WordPerfectfor
tv9	OverflowfileaboveinsertpointinDoc9(WordPerfectfor
tvf	Tableviewsettings(dBASE)
tvo	TeveoLive
tvp	NVIDIAGraphicCardUpdatefile
tvr	NavicatforMySQLfile
tvt	RealPlayer
txd	GrandTheftAuto3Texturefile
txf	CompressedfilearchivecreatedbyTARandFREEZE(.tar.f)
txi	Supportfile(TeX)
txl	Genesis3DTexturefile
txt	Textfile
tym	TimeStamp(PageMaker4)
tz	CompressedfilearchivecreatedbyTARandCOMPRESS
tzb	CompressedfilearchivecreatedbyTAR-COMPRESS-BTOA
uax	UnrealAudiofile
ub	Audiofile(unsignedbyte)
uc2	CompressedfilearchivecreatedbyUltraCompressorII
ucn	NewcompressedfilearchivecreatedbyUltraCompressorII
ucs	UniversalClassificationStandardDatabasefile
udc	AcrobatSpellingfile
udf	Filter(Photostyler)
udl	MSDataLink
uds	SierraGenerationsFamilyfile
ue2	EncryptedfilearchivecreatedbyUltraCompressorII
ufo	UleadPhotoImpactGraphicfile
uha	UHARCCompressedArchivefile
uhs	UniversalHintSystem(binaryfile)
ui	Espiresourcecodefile(GeoworksUICompiler)
uif	MagicISODiscImagefile
uih	Espireheaderfile(GeoworksUICompiler)
uis	WindowBlinds(CopyrightNeilBanfield&Stardock.net,Inc.)
ul	Ulawaudiofile
uld	Informationaboutuploadedfiles(ProcommPlus)
ult	Music(UltraTracker)
umb	Backupfile(MemMaker)
umd	UniversalMediaDiscfile
umf	Stockmoves,MOTEKBV
umx	Unrealmusicfile
uni	Unimodmusicmodule(MIKMOD)
unl	GarminUnlockfile
unq	FaxViewfile
uns2	UltraNotesBackupfile
unx	TextfilecontainingUNIXspecificinfo
upd	Programupdateinfo
upg	FirmwareUpgradefile
upo	Compiledupdatedata(dBASE)
upx	ULeadPhotoExpressSavedImagefile
url	UniformResourceLocator(Internetshortcut)
urls	GetRightURLListfile
usb	D-LinkFMRadioUpdate
user	VisualStudioUserOptionsfile
usp	PrinterfontwithUSASCIIextendedcharacterset
usr	Userdatabasefile(ProcommPlus-TurboC++tour)
utf	AOLUpdatingFiles
utl	Soundfile
utx	UnrealEngineTexturefile
uu	CompressedASCIIfilearchivecreatedbyUUDE/ENCODE
uue	CompressedASCIIfilearchivecreatedbyUUENCODE
uvf	CSV(commaseparatedvalue)format.UsedbyNetica
uvr	UleadCool360Viewerfile
uw	Audiofile(unsignedword)
uwl	WordPerfectUserWordListfile
v	Consistencychecksupportfile(ReaGeniXcodegenerator)
v2	MicrosoftLiveMessengerdatafile
v64	Nintento64EmulationROMImage
val	Validitychecksandreferentialintegrity(Paradoxfor
van	Animation(VistaPro)
var	Variablefile(IconAuthor)
vbc	VisualBusinessCards
vbd	ActiveXfile
vbe	VBScriptEncodedScriptfile
vbn	NortonCorporateanti-virusquarantinedfile
vbp	VisualBasicProjectfile
vbs	VisualBasicScriptfile(VisualBasic)
vbw	VisualBasicProjectWorkplace(VisualBasic)
vbx	VisualBasiceXtension(VisualBasic)
vc	Includefilewithcolordefinitions(Vivid2.0)
vc4	VirtualCD/DVDImagefile
vcd	VisualCADDDrawingfile
vce	VisualCEClassTypefile
vcf	VCardfile
vch	InterlockPublicComputerUtility
vcmf	VAIOContentMetadatafile
vcs	vCalenderfile
vcw	Visualworkbenchinformation(MSVisualC++)
vcx	Spreatsheet(VisiCalcAdvanced)
vda	Bitmapgraphics
vdb	NortonAntiVirusCorporateEditionUpdatefile
vdf	AviraAntiVirvirusdefinitionfile
vdi	VirtualDiskImagesfiles
vdj	VirtualDJSamplefile
vdm	VDMPlay
vdr	Drawing(ComputerEasyDraw)
vdx	XMLforVisioDrawingfile
vem	VeeProEmbroiderySoftwareFormat
ver	VersionDescriptionfile
vew	Viewfile(Clipper5,LotusApproach)
vfm	VotingForm(Voter)
vfn	VotingFormforCustomers(Voter)
vfp	TMPGEncVFAPIPlug-in
vfs	VirtualFileSystemIndex
vfx	UleadVideoStudioSamplefile
vga	Vgadisplaydriver
vgd	Vgadisplaydriver(GenericCADD)
vgr	Graphics(VenturaPublisher)
vhd	VirtualHardDiskfile
vi	Graphics(JovianLogicVI)
vic	Vicargraphics
vid	Videofile
vif	KhorosVisualizationimagefile(SDSCImageTool)
vik	Vikinggraphics
vir	VirusInfectedfile
vis	Visgraphics
viv	VivoActivePlayerVideofile
vlm	Ashlar-Vellumfile
vlt	WinVaultContainerfile
vm	VirtualMemoryfile(Geoworks)
vm1	PanasonicSDVoiceEditorfile
vmc	Virtualmemoryconfiguration(Acrobatreader)
vmdk	VMwareImagefile
vmf	Fontcharacteristics(VenturaPublisher)
vmg	TextMessagefiles
vml	VectorMarkupLanguage
vmo	MobilePhonevoicefile(SiemensSl45)
vmp	LogosLibrarySystem2.xVerseMap
vms	TextfilecontainingVMSspecificinfo
vmt	ValveMaterialfile.Detailshowamaterialistobe
vmx	VMwareConfigurationfile
vnt	vNotefile
vo	Includefilewithobjectdefinition(Vivid2.0)
vob	DVDvideomoviefile
voc	Digitizedsamples(CreativeVoicefile)
vof	Objectfolder(VZProgrammer)
vol	VOLArchivefile
vor	OpenOffice.orgTemplate
vox	VoxAudio
vp6	TrueMotionVP6Videofile
vpa	ExciteChatGesturesfile
vpd	VirpetPerformanceDescriptor
vpg	Graphics(VPGraphics)
vpk	SteamPackageArchivefile
vpl	KaraokePlayerPlaylistfile
vpp	VirtualPoolGame
vqe	YamahaSound-VQLocatorFile
vqf	YamahaSound-VQFile
vql	YamahaSound-VQLocatorFile
vrd	VRScapedatafile
vrm	Overlayfile(QuattroPro)
vro	PanasonicDVDRecorderfile
vrp	Project(WATCOMVX?Rexx)
vrs	VideoResourceeg.videodevicedriver(WordPerfect)
vs	Includefilewithsurfacedefinition(Vivid2.0)
vsd	Diagram(ShapewareVisio)
vsl	GetRightDownloadListfile
vsm	Simulationmodel(VisSim)
vsp	VisualStudiofile
vss	Smartshapesfile(ShapewareVisio)
vst	TruevisionVistabitmapgraphics
vtf	ValveTexturefile.Usedtostoretexturedata
vts	DVDFileformat
vtx	XMLforVisiotemplatefile
vue	Animation(3DStudio)
vw	Textfile(Volkswriter)
vw3	Textfile(Volkswriter3)
vwl	VideoWaveVideoWaveLibrary
vwr	Fileviewerfile(PCTools)
vwt	VideoWaveThumbnail
vxd	Virtualdevicedriver(MSWindows)
vyd	VyperHelp
w	DatabaseAppBuilderSourceCodefile
w02	MultipleArchivefile
w30	Printerfont(ASTTurboLaser)(VenturaPublisher)
w31	Startupfile(Windows3.1)
w3g	WarcraftIIIfile
w3m	WarcraftIIIMapfile
w44	TemporaryfileforSortorIndex(dBASE)
w5v	Winampfile
wab	OutlookFile
wac	InfinityGameEngineWAVCSound
wad	DoomGamefile
waf	Mayim'sWAFCompilerfile
wal	WinampSkinfile
war	JavaWebArchive(usedbyServlets)
wav	Waveformaudiofile(RIFFWAVEformat)
wax	WindowsMediaPlayerRedirectfile
wb1	Notebook(QuattroPro)
wb2	Spreadsheet(QuattroPro)
wb3	QuattroProforWindows
wba	WindowBlindsCompressedSkin
wbc	WebshotsPictureCollection
wbf	MsWindowsBatchFile(Catch)
wbk	Document/workbook(WordPerfectforWin)
wbmp	WirelessApplicationProtocolBitmapfile
wbt	Batchfile(WinBatch)
wbx	Webiggerfile
wbz	WebShotsfile
wcd	Macrotokenlist(WordPerfectforWin)
wcm	Datatransmissionfile(MSWorks)
wcp	Productinformationdescription(WordPerfectforWin)
wd2	InfoSelectforPalmOrganizerfile
wdb	Database(MSWorks)
wdf	ReliaSoftWeibull5.0
wdl	WindowsXPWatchdogLogfile
web	Websourcecodefile
wer	MicrosoftWindowsErrorReportfile
wfc	WindowsConnectNowfile
wfm	Formobject(dBASEFormDesigner)
wfn	Font(CorelDRAW)
wfx	Datafile(Winfax)
wg1	Worksheet(Lotus1-2-3/G)
wg2	Worksheet(Lotus1-2-3forOS/2)
wgt	OperaWidgetfile
wid	Widthtable(VenturaPublisher)
wim	ImageFormatfile
win	OperaSavedWindowfile
wiz	Pagewizard(MSPublisher)
wjp	WildTangentBranded.jpgfile
wk1	Spreadsheet(Lotus1-2-3version2.x-Symphony1.1+)
wk3	Spreadsheet(Lotus1-2-3version3.x)
wk4	Spreadsheet(Lotus1-2-3version3.4)
wkb	Document(WordPerfectforWin)
wke	Spreatsheet(Lotus1-2-3educationalversion)
wkq	Spreatsheet(Quattro)
wks	Spreadsheet(Lotus1-2-3version1A-Symphony1.0-MS
wll	WordAdd-in
wlk	Graphics(VirtusWalkthrough)
wlt	eWalletfile
wma	MicrosoftActiveStreamingfile
wmc	BackupofstartupfilesbyWindowsMathCadautoexec.wmc
wmf	WindowsMetaFilevectorgraphics
wml	WirelessMarkupLanguage
wmv	MSActiveStreamingfile
wmz	WindowsMediaCompressedskinfile
wn	Text(NeXTWriteNow)
wnf	Outlinefontdescription(CorelDRAWnativeformat)
wo4	STABCALfile
wo7	STABCALfile
woa	Swapfile(Windows3.x)
woc	MicrosoftOffice2007Organizationfile
wor	MapInfoWorkspace
wot	WebExSavedMeetingMovie
wow	Music(8channels)(GraveModPlayer)
wp	Textfile(WordPerfect4.2)
wp3	MicrosoftPhotoStoryProjectfile
wp5	Document(WordPerfect5.x)
wpd	Document(WordPerfect6.0-PFS:WindowWorks)
wpf	Fax(WorldPort)
wpg	WildTangentBranded.PNGfile
wpj	MSWorksProjects
wpk	Macros(WordPerfectforWin)
wpl	WindowsMediaPlayerPlaylistfile/td>
wpm	Macros(WordPerfect)
wps	Textdocument(MSWorks)
wpt	WordPerfecttemplate
wpw	PerfectWorksdocument
wq!	Compressedspreadsheet(QuattroPro)
wq1	Spreadsheet(QuattroPro)
wr1	Spreadsheet(Symphony1.1-1.2-2)
wrd	Template(Charisma)
wrf	usedforWebExrecording.Microsoftofficeadd-infor
wri	Textfile(WindowsWrite)
wrk	Spreadsheet(Symphony1.0,1.2,2.0,3.0)
wrl	PlaintextVRMLfile
wrml	PlaintextVRMLfile
wrp	CompressedAmigafilearchivecreatedbyWARP
wrs	WindowsResourceeg.printerdriver(WordPerfectforWin)
ws	Textfile(WordStar5.0-6.0)
wsf	WindowsScriptfile
wss	WebScreenSaverfile(WebScreenSaver2008)
ws2	Textfile(WordStar2000)
wsc	Windowsscriptingcomponentfile
wsd	Document(WordStar)
wsf	WindowsScriptfile
wsh	WindowsScriptHostSettingsfile
wsp	Workspace(FortranPowerStation)
wsr	FirstStopWebSearchfile
wss	WebScreenSaverfile(WebScreenSaver2008)
wst	Textfile(WordStar)
wsx	WinMXFilesharingProgram
wsz	SkinZipfile(WinAmp)
wtd	WinTuneDocumentfile
wtr	MSEncartafile
wv	WavPackcompressedAudiofile
wve	ComponentofaDIVXMovieConversion
wvx	Metafile
wvw	BackupWonderwareInTouchwindowfile
wwb	Buttonbarfordocumentwindow(WordPerfectforWin)
